"SMILES","ID","clogP"
"[H]N(C(=O)C1=NOC(=C1[H])C([H])([H])OC1=C2C([H])=C([H])N=C([H])C2=C([H])C([H])=C1[H])C([H])(C1=C([H])C([H])=C(F)C([H])=C1[H])C([H])([H])C([H])([H])[H]",60564743,4.34
"[H]N(C1=C([H])C(=NC2=C([H])C([H])=NN12)C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C1=NN=C([H])N1C([H])([H])C([H])([H])[H])C([H])([H])[H]",65714673,2.24
"[H]N(C(=O)C1=C([H])C([H])=C(N(C1=O)C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1=C(N=C([H])S1)C([H])([H])[H]",66244095,1.01
"[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])S(=O)(=O)N([H])C([H])([H])C1=NOC([H])=C1[H])C([H])([H])C([H])([H])[NH+]1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",66607042,-0.04
"[H]N(C(=O)C1=C(OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H])C([H])=C([H])C([H])=C1[H])C([H])(C1=NN([H])C(=N1)C([H])([H])[H])C([H])([H])[H]",66722157,0.67
"[H]N(C(=O)N1C([H])([H])C([H])([NH+]2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])[H])C1([H])[H])C1=C(C(=C([H])C([H])=C1[H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]",68013615,3.22
"[H]N(C1([H])C([H])([H])C([H])([H])N(C2=NC(=NC([H])=C2C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H]",68253466,1.12
"[H]C1=C(N=NN1C1([H])C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]",69769813,2.31
"[H]N1C(=C([H])C([H])=C1C([H])([H])C([H])([H])[H])C(=O)N1C([H])([H])C([H])([H])C2(C([H])([H])N(C(=O)C([H])([H])C2([H])[H])C([H])([H])C2=NC([H])=C(N=C2[H])C([H])([H])[H])C([H])([H])C1([H])[H]",71886891,-0.6
"[H]N(C(=O)C([H])([H])[H])C([H])([H])C1=NN2C(=C1[H])C([H])([H])[NH+](C([H])([H])C1=NC(=C(S1)C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H]",78885031,0.47
"[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C1=NN([H])C([H])=C1[H])C([H])([H])C([H])([H])C1=NN=C(S1)C([H])([H])[H]",80357219,0.88
"[H]N([H])C1=NN=C(S1)C(N([H])C(=O)C1([H])C([H])([H])[NH+](C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]",80632107,0.93
"[H]N(C(=O)C1([H])OC2=C([H])C([H])=C([H])C([H])=C2C([H])([H])C1([H])[H])C([H])([H])C1=C(C([H])=C([H])C([H])=C1[H])N1N=C([H])N=C1[H]",84245279,1.94
"[H]C1=C(C([H])=C(S1)C(=O)C([H])([H])[H])C([H])([H])[NH+]1C([H])([H])C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])([H])C([H])([H])OC([H])([H])[H])C1([H])[H]",84780306,0.94
"[H][NH+]([H])C([H])([H])C([H])([H])N1N=NC(=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",87268653,-0.61
"[H]N(C(=O)C1([H])N(C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])O2)C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])N1N=C([H])C([H])=C1[H]",87442373,2.6
"[H]N(C(=O)N(C([H])([H])[H])C([H])([H])C1=C([H])C(=NO1)C1=C([H])C([H])=NC([H])=C1[H])C1([H])C([H])([H])[NH+](C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",89968080,1.47
"[H]N([H])C1=NC(=C(C(=N1)N([H])C([H])([H])C([H])([H])C([H])([H])N1C([H])=NN=C1[H])C([H])([H])[H])C([H])([H])C([H])([H])[H]",89996867,1.36
"[H]N(C(=O)C1([NH+]2C([H])([H])C([H])(OC([H])(C([H])([H])[H])C2([H])[H])C([H])([H])[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2C1([H])[H])C([H])([H])C1=NC([H])=C([H])N1C([H])([H])C([H])([H])[H]",91182649,2.37
"[H]N([H])C1=NC(=C([H])C(=N1)N1C([H])([H])C([H])([H])N(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([NH+]([H])[H])C1([H])[H]",93913922,1.37
"[H]N(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)C2=C([H])C([H])=C(SC([H])([H])[H])C([H])=C2[H])C1([H])[H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]",94079060,3.56
"[H]C1=C([H])C([H])=C(S1)C1=NC(=C(O1)C([H])([H])[H])C([H])([H])[NH+]1C([H])([H])C([H])([H])C(C(=O)OC([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])C1([H])[H]",94707538,2.97
"[H]C1=NN2C([H])=C([H])C([H])=C([H])C2=C1C(=O)N(C([H])([H])[H])C([H])([H])C1=NOC(=N1)C([H])(C([H])([H])[H])C([H])([H])[H]",96540290,0.47
"[H]N1C([H])=NC2=C1C([H])([H])C([H])([H])N(C(=O)C([H])([H])OC([H])([H])[H])C21C([H])([H])C([H])([H])[NH+](C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])C([H])=C3O2)C([H])([H])C1([H])[H]",96880790,1.36
"[H]OC([H])([H])C1=C(ON=C1C(=O)N([H])C([H])([H])C([H])([H])C1=NC2=C([H])C([H])=C([H])C([H])=C2O1)C([H])([H])[H]",97003438,-0.09
"[H]N(C1=C2C(=NC([H])=N1)C([H])([H])C([H])([H])N(C(=O)C1(C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H]",97699310,0.61
"[H]C1=C([H])C([H])=C(S1)C1=NC(=C(O1)C([H])([H])[H])C([H])([H])[NH+]1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H]",97771358,3.81
